"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"מנוחהה","Day Off","","","","2026-02-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"רכיבה בסמי עופר מ6-7:30","Bike","","1.5","","2026-02-19","","28716.05078125","","","","","1.27906966209412","6.23600006103516","","","","139","190","","","0.677576135439468","65.43","43","18","11","4","1","0","1","","","","","","","","","","","","","","1","1"
"Cardio","Other","","","","2026-02-19","","0","","","","","0.843359172344208","0","","","","112","174","","","0.616341650168612","35.34","39","6","4","2","0","0","0","","","","","","","","","","","","","","",""
"Glassy","Bike","Stretch • Sweet Spot 4.7 בטריינר זה עבודה של 4 סטים על 15 דקות שנע בין 75 ל90 אחוז מהסחח. שתי דקות התאוששות פעילה בין לבין.","1.33333333333333","","2026-02-20","","35511.46875","106","194","513.775","","1.33400523662567","7.39499998092651","","71","","133","148","","","0.776884963594549","79.95","58","22","0","0","0","0","0","","","","13","19","45","3","0","0","","","","","",""
"ריצה אחרי טריינר","Run","","0.75","","2026-02-20","","7611.43994140625","254","341","687.449","","0.75070995092392","2.81599998474121","","175","","146","158","","","0.700750503919244","40.54","3","39","4","0","0","0","0","","","","0","0","0","0","0","45","","","","","1","1"
"רכיבת נפח","Bike","","3.25","","2026-02-21","","78329.921875","","","","","3.17650198936462","6.84999990463257","","","","141","165","","","0.673405015666396","164.26","82","71","35","3","0","0","0","","","","","","","","","","","","","","3","1"
"שחייה - ערב","Swim","","1","","2026-02-22","","2150","","","","","0.776052224371168","0.769564474486429","","26","","132","158","","","0.923477369383714","61.12","30","16","1","0","0","0","0","","","","","","","","","","","","","","3","1"
"Run z2 70min","Run","","1.16666666666667","","2026-02-22","","11190.0400390625","241","356","1014.152","","1.16681885719299","2.66400003433228","","170","","142","160","","","0.688503769367617","61.5","23","40","7","0","0","0","0","","","","0","0","0","0","0","69","","","","","2","1"
"Strenght workout","Other","","","","2026-02-22","","0","","","","","0.82499748468399","0","","","","115","170","","","0.616227604492869","34.54","41","4","3","1","0","0","0","","","","","","","","","","","","","","",""
"שחייה - ערב","Swim","","1","","2026-02-23","","2325","","","","","0.827745836046007","0.778633623576691","","25","","121","167","","","0.936277739193513","67.94","43","3","4","0","0","0","0","","","","","","","","","","","","","","2","1"
"מנוחהה","Day Off","","","","2026-02-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy 30min Z1-2 + 4x 30 sec Speed runs(Z5)","Run","","0.516666666666667","","2026-02-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"שינויי קצב (Z1+Z5)","Run","","1.03333333333333","","2026-02-25","","9076.9697265625","228","505","851.102","","1.03519523143768","2.43600010871887","","165","","137","177","","","0.653530582690806","49.01","47","5","3","5","2","0","0","","","","1","0","0","0","3","57","","","","","2","1"
"מנוחהה","Day Off","","","","2026-02-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
