"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"שחייה סבולת מהירות","Swim","400 חימום 8X50 תרגילי טכניקה מרכזי X8 100 Z3 מנוחה 25 שניות 200 Z1 מנוחה 15 שניות + פולי 500 כפות ופולי Z1-2 100 שחרור","1","3600","2026-03-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adventure Seeker #2","Bike","A long endurance ride focused on exploration riding new routes and enjoying the adventure often with less emphasis on strict power targets.","1.00555555555556","","2026-03-24","","16777.69921875","103","160","374.43","","1.00555551052094","4.63299989700317","","70","","126","145","","","0.667214153938226","44.51","58","3","0","0","0","0","0","","","","11","16","32","1","0","0","","","","","",""
"Z2 - לפי דופק","Run","","1.33333333333333","","2026-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bashful -1 - 50% + Z2","Bike","Stretch • VO2 Max 3.7","1","","2026-03-26","","16956.19921875","105","315","378.056","","1","4.70900011062622","","72","","138","173","","","0.756691337133681","56.76","26","28","2","4","0","0","0","","","","24","23","8","0","2","4","","","","","",""
"Lap Swimming","Swim","","","","2026-03-26","","2700","","","","","0.972498337427775","0.76988879384089","","26","","135","185","","","0.925451453603992","77.08","35","12","11","0","0","0","1","","","","","","","","","","","","","","2","1"
"Strength","Strength","","","","2026-03-26","","0","","","","","0.933162212371826","0","","","","124","176","","","0.653383962549877","44.05","42","2","4","8","1","0","0","","","","","","","","","","","","","","",""
"שחייה 6 בבוקר באפק","Swim","","1","","2026-03-27","","2600","","","","","0.953213893572489","0.756914119359534","","27","","141","159","","","0.909204820146444","71.64","19","28","10","0","0","0","0","","","","","","","","","","","","","","3","1"
"Run z2 95min","Run","","1.58333333333333","","2026-03-27","","14786.419921875","228","325","1298.868","","1.58377230167389","2.59299993515015","","170","","135","156","","","0.609598014614632","65.96","83","12","0","0","0","0","0","","","","0","0","0","0","3","92","","","","","2","5"
"Sucia Island - 30M","Bike","Stretch • Endurance 7.1 עבודה אירובית שנעה בין 60 ל80 אחוז","2.25","","2026-03-28","","35874.890625","114","166","920.953","","2.25","4.42799997329712","","75","","128","147","","","0.724081897113054","117.69","130","5","0","0","0","0","0","","","","11","79","44","0","0","0","","","","","",""
"Active Recovery","Bike","An easy recovery session using low-impact cross-training (e.g. swimming walking) to promote blood flow and active recovery without stressing cycling muscles.","1","","2026-03-29","","16491.44921875","91","164","328.228","","1","4.57999992370605","","70","","122","145","","","0.602689057807831","35.87","60","0","0","0","0","0","0","","","","31","27","2","0","0","0","","","","","",""
"שינויי קצב בסיס Z1-Z2-Z5","Run","","1.33333333333333","","2026-03-30","","11657.58984375","232","531","1116.495","","1.33413219451904","2.42700004577637","","165","","140","167","","","0.660165436450035","64.88","44","26","7","3","0","0","0","","","","0","0","0","4","24","52","","","","","2","1"
"Strength","Strength","","","","2026-03-30","","0","","","","","0.252325564622879","0","","","","99","148","","","0.580550583113187","9.1","15","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-03-30","","0","","","","","0.954538285732269","0","","","","120","177","","","0.647839025301804","44.32","43","3","3","7","1","0","0","","","","","","","","","","","","","","",""
"Beech","Bike","Achievable • Endurance 4.1 בטריינר זה 60 דקות של עבודה אירובית שנעה בין 65 ל75 אחוז מהסחח.","1.00016666412354","","2026-03-31","","16677.419921875","115","156","414.763","","1.00027775764465","4.63000011444092","","71","","141","154","","","0.677824477090611","45.48","22","38","0","0","0","0","0","","","","7","47","6","0","0","0","","","","","",""
"שחייה 6 בבוקר באפק","Swim","","1","","2026-03-31","","2450","","","","","0.900406390825907","0.753382533825338","","24","","129","155","","","0.906997856731748","67.18","40","14","0","0","0","0","0","","","","","","","","","","","","","","1","1"
"April power set","Other","1. ג'אינט סטפס 2.סקווט 3. פלאנק רגיל 4.full seat בטן - עליות בטן משכיבה לישיבה 5. בטן אלכסונים אולר כל פם רגל אחרת נפגשת עם יד אחרת 6. single leg side kick - ניאות קטנות","0.266666666666667","","2026-04-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fartlek 300mt + 75sec rest X8","Run","","1.16888888888889","11266","2026-04-01","","11190.2197265625","245","490","991.073","","1.12308192253113","2.76799988746643","","171","","148","179","","","0.722898581834895","65.2","30","13","8","9","7","0","0","","","","0","0","0","1","11","56","","","","","2","1"
"Collins +1","Bike","Achievable • Endurance 5.7 טריינר זה מתפרש על גבי שעה ורבע של עבודה אירובית עם מקטעים קצרים של ספרינטים לקראת סיום הרכיבה.","1.25016666412354","","2026-04-02","","19972.029296875","117","326","527.099","","1.25027775764465","4.43599987030029","","75","","143","168","","","0.713652755178201","63.03","23","36","15","2","0","0","0","","","","10","59","5","0","0","1","","","","","",""
"Run z2 110min","Run","","1.83333333333333","","2026-04-03","","17500","258","399","1701.812","","1.83459055423737","2.6496981028728","","174","","142","161","","","0.653754110271584","88.21","36","72","3","0","0","0","0","","","","0","0","0","0","4","105","","","","","2","1"
"שחייה אימון נפח אירובי","Swim","400 חימום 400 רק פולי 6X400 Z2-3 מלא מנוחות 40 שניות 100 שחרור","1","3200","2026-04-03","","2975","","","","","0.938806115786235","0.880255118701269","","26","","137","167","","","1.05630614244152","110.65","27","21","7","1","0","0","0","","","","","","","","","","","","","","3","1"
"רכיבת נגש - נפח","Bike","שעה חימום סט מרכזי *4 2 דק 85% 1 דקה 110% 3 דקות 65 % על הסט הזה חוזרים 5 פעמים אחרי הסט 6 דקות זון2 75% על הסידרה הזאת חוזרים 4 פעמים משלימים 3 עד 3.5 שעות בזון2","3.5","","2026-04-04","","81700","","","","","3.31555555555556","6.84483914209115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"April power set","Other","סרטון הדגמה https://www.tiktok.com/@dan.kony/video/7487824936149470471?is_from_webapp=1&sender_device=pc https://youtube.com/shorts/PilJwR00njg יוטיוב סט חיזוקים לחודש אפריל תרגילים 1. לאנץ + הרמת עקב ברגל הקידמית 2. סקווט ולאנץ לסירוגין 3. פלאנק על הצד על ניאות אגן 4. בטן - עליות קטנות נישארים רק למעלה 5. בטן אופניים 6. בריג' רחוק עקבים על הריצפה","0.266666666666667","","2026-04-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Andrews","Bike","TrainerRoad - Andrews Achievable • Endurance 5.4 אנדרוס זה טריינר אירובי של 90 דקות הנע בין 65-75 אחוז מהסח""ח.","1.50016666412354","","2026-04-07","","22469.05078125","119","197","640.275","","1.50027775764465","4.15899991989136","","71","","139","150","","","0.694379067016001","71.87","45","45","0","0","0","0","0","","","","7","75","8","0","0","0","","","","","",""
"שינויי קצב בסיס Z1-Z2-Z5 X10","Run","","1.36666666666667","","2026-04-07","","12030.240234375","226","444","1114.745","","1.36784696578979","2.44300007820129","","168","","145","175","","","0.695991455648994","73.96","31","31","11","9","0","0","0","","","","0","0","0","6","35","41","","","","","3","5"
"Strength","Strength","","","","2026-04-07","","0","","","","","0.846524477005005","0","","","","126","177","","","0.637990007512992","38","39","7","4","0","0","0","0","","","","","","","","","","","","","","",""
"ריצה ארוכה","Run","ריצה ארוכה ורציפה באזור Z2, הגברת סבולת בסיסית","1.75","","2026-04-08","","14402.91015625","235","1002","1482.77","","1.7503969669342","2.28600001335144","","174","","144","159","","","0.679534873043682","90.79","13","88","4","0","0","0","0","","","","0","1","10","4","4","87","","","","","3","3"
"Running","Run","","","","2026-04-08","","5135.89990234375","152","449","446.887","","0.814566910266876","1.75100004673004","","113","","123","158","","","0.6230808448812","34.86","39","7","2","0","0","0","0","","","","19","2","0","3","6","20","","","","","1","1"
"שחייה 6 בבוקר באפק","Swim","","1","","2026-04-09","","2225","","","","","0.827616114086575","0.744645247657296","","24","","121","153","","","0.896148170683253","59.56","44","5","0","0","0","0","0","","","","","","","","","","","","","","1","3"
"שחייה בכנרת","Swim","","0.666666666666667","","2026-04-10","","1235.35998535156","","","","","0.57448023557663","0.597000002861023","","27","","146","157","","","0.716798657782416","21.16","3","26","5","0","0","0","0","","","","","","","","","","","","","","4","3"
"רכיבה","Bike","60 דקות חימום סט מרכזי X10 4 קל 3 חזק 2 קל 1 חזק 20 דקות קל","3","","2026-04-10","","84034.0390625","","","","","3.36768579483032","6.93100023269653","","","","142","163","","","0.660548222508865","167.78","100","67","34","0","0","0","0","","","","","","","","","","","","","","",""
"Run z1 60min","Run","","1","","2026-04-10","","15394.599609375","225","417","812.329","","1.00074028968811","4.27299976348877","","168","","140","151","","","0.643664514622825","45.94","28","32","0","0","0","0","0","","","","0","0","0","3","16","40","","","","","4","1"
"רכיבת נפח קבוצתית","Bike","","3.5","","2026-04-11","","84677.609375","","","","","4.00439023971558","5.87400007247925","","","","132","159","","","0.640855664345593","188.62","145","71","25","0","0","0","0","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-04-12","","0","","","","","0.834892809391022","0","","","","106","154","","","0.56133235837661","29.02","49","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2026-04-12","","2125","","","","","0.817961390813192","0.720338983050847","","22","","120","142","","","0.865974043871594","53.12","49","1","0","0","0","0","0","","","","","","","","","","","","","","3","7"
"שינויי קצב בסיס Z1-Z2-Z5 X10","Run","","1.36666666666667","","2026-04-13","","10823","234","3108","1159.166","","1.36695921421051","2.19899988174438","","164","","140","181","","","0.656105408918458","65.68","48","25","7","2","0","0","0","","","","0","0","2","8","21","51","","","","","2","1"
"שחייה בוקר אפק","Swim","","1","","2026-04-14","","2600","","","","","0.982983892228868","0.733220530174845","","23","","134","171","","","0.88166924556774","67.37","40","13","5","2","0","0","0","","","","","","","","","","","","","","2","1"
"Black","Bike","TrainerRoad - Black Achievable • Endurance 4.3 בלאק זה שעה של אירובי שנע בין 50-80 אחוז מהסח""ח.","1","","2026-04-14","","15055.830078125","114","182","411.508","","1","4.18300008773804","","70","","141","159","","","0.679634113783751","45.98","19","38","3","0","0","0","0","","","","8","45","7","0","0","0","","","","","",""
"Carillon","Bike","TrainerRoad - Carillon Productive • Sweet Spot 4.4 קרילון מורכב משתי סטים של 10 דקות עבודה, פעמיים. כל העבודה בין 88 ל95 אחוז מהסח""ח. התאוששות של דקה בין אינטרוולים ו5 דקות בין סטים.","1","","2026-04-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brick","Run","","0.5","","2026-04-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
